省	市	区	地址
国营八九九厂职工医院			
海南省	农垦国营龙山农场医院		
辽宁省	葫芦岛市	前所果树农场职工医院	
黑龙江省	大庆市	至诚医院	
浙江省	丽水市	龙泉市	成东济世医院
中国人民解放军第八医院			
河北省	保定市	涞水县	第二人民医院
中国乐凯集团有限公司职工医院			
吉林省	通化市	矿务局总医院	
陕西省	西安市	交通大学第二医院	
云南省	保山市	龙陵县	中医院
云南省	楚雄彝族自治州	楚雄市	州禄丰县中医院
天津市	天津市	津市市	宁河县丰台医院
天津市	天津市	津市市	西青区赛达医院
天津市	天津市	津市市	河东区常州道医院
河北省	张家口市	沽源县	医院
甘肃省	武威市	古浪县	中医医院
北京市	北京市	首都医科大学附属北京复兴医院	
辽宁省	沈阳市	二四二医院	
四川省	南充市	营山县	中医医院
云南省	德宏傣族景颇族自治州	瑞丽市	国营瑞丽市农场医院
山东省	青岛市	北华联医院	
内蒙古自治区	阿拉善盟	阿拉善左旗	蒙中医院
黑龙江省	齐齐哈尔市	东市场医院	
吉林省	四平市	铁东神农医院	
浙江省	温州市	乐清市	柳台医院
浦江胜华医院			
山东省	临沂市	东方市	郯城东方医院
山东省	济宁市	兖州市惠民医院	
北京市	北京市	东方市	京城中医医院
浙江省	宁波市	北仑大港医院	
凉山州第一人民医院长安分院			
云南省	新昆华医院		
山西省	大同市	煤矿集团有限责任公司总医院恒安医院	
山东省	章丘市东风煤炭集团总公司职工医院		
四川省	泸州市	永安市	叙永安民医院
凉山卫生学校附属医院			
云南省	保山市	腾冲市	黎康医院
海南省	人民医院龙华院区		
四川省	遂宁市	益民医院	
山东省	青岛市	市立医院东院	
北京市	北京市	宣武区回民医院	
北京市	北京市	怡宁医院	
浙江省	台州市	临海市	紫阳老年医院
福建省	宁德市	医院古田分院	
陕西省	宝鸡市	扶风县	胜利厂职工医院
重庆市	重庆市	沙坪坝区	中西医结合医院
山东省	新升实业发展有限责任公司医院		
喀左县中医院			
辽宁省	辽阳市	中心医院新城医院	
云南省	中医医院滇池院区		
天津市	天津市	津市市	宝坻渤海医院
中铁四局集团卜家店医院			
山东省	日照市	白求恩医院	
江西省	宜春市	奉新县	中医院
浙江省	温州市	永嘉县	瓯北城市新区医院
中国海洋大学校医院			
重庆市	重庆市	人民医院三院院区	
重庆市	重庆市	恒和医院	
上海市	上海市	梅山第二医院	
江苏省	盐城市	级机关医院	
四川省	凉山彝族自治州	西昌市	九龙医院
葵涌医院			
福建省	泉州市	温陵医院	
广东省	汕尾市	中医医院	
吉林省	白城市	洮北区	仁济医院
甘肃省	兰州市	金港城医院	
湖北省	五二五投资有限公司医院		
江苏省	宿迁市	沭阳县	东小店乡医院
山东省	淄博市	颜神医院	
宁夏回族自治区	石嘴山市	中医医院	
广东省	广州市	广安医院	
内蒙古自治区	包头市	达茂旗蒙医医院	
浙江省	杭州市	恩华医院	
浙江省	丽水市	龙泉市	纯德平安医院
海南省	农垦南林医院		
辽宁省	盘锦市	糖尿病医院	
山东省	东营市	八局医院	
广东省	广州市	南沙区	第三人民医院
兖矿集团有限公司总医院济三分院			
江苏省	宿迁市	宿豫区	侍岭镇医院
新疆维吾尔自治区	乌鲁木齐市	阿波罗医院	
贵州省	毕节市	七星关四通医院	
山西省	离柳焦煤集团有限公司医院		
山东省	青岛市	恒博医院	
河南省	新乡市	航空工业(集团)有限公司医院	
山东省	即墨市市南医院		
北京市	北京市	昌平臻俐康医院	
山东省	德州市	康德医院	
辽宁省	营口市	东海医院	
江西省	地质矿产勘查开发局九一二大队医院		
中国水利水电第一工程局第二职工医院			
四川省	成都市	锦江瑞康医院	
吉林省	通化市	中医院	
河南省	平顶山市	石龙区	第一人民医院
山东省	聊城市	东昌府区	第二人民医院
浙江省	杭州市	建德市	乾潭医院
山东省	淄博市	监狱医院	
四川省	眉山市	洪雅仁济医院	
上海市	上海市	君康综合医院（上海）有限公司	
辽宁省	沈阳市	沈北沈医医院	
